,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,PPS,3PAr,PER,USG%,Points_Produced,Possessions_Used,ORtg,Assist/Turnover Ratio,Defensive Possessions,Defensive Rating
305,306,Tyler Herro,SG,24,MIA,42,40,33.5,7.7,17.5,0.441,3.1,7.9,0.396,4.6,9.6,0.478,0.531,2.3,2.6,0.856,0.5,4.8,5.3,4.5,0.7,0.1,2.2,1.5,20.8,0.55782021025531,1.1885714285714286,0.45142857142857146,19.75359561549172,62.22089552238805,21.944000000000003,20.843999999999998,105.27729802341203,2.0454545454545454,5.6,17.857142857142858
306,307,Josh Richardson,SG,30,MIA,43,6,25.7,3.6,8.1,0.444,1.5,4.4,0.347,2.0,3.7,0.561,0.539,1.2,1.3,0.944,0.4,2.4,2.8,2.4,0.6,0.3,0.8,1.8,9.9,0.5708025830258302,1.2222222222222223,0.54320987654321,13.537813230391276,36.85603112840467,10.472000000000001,9.472000000000001,110.55743243243242,2.9999999999999996,3.3,30.303030303030305
307,308,Lindell Wigginton,PG,25,MIL,3,0,2.7,0.7,1.7,0.4,0.0,0.7,0.0,0.7,1.0,0.667,0.4,0.7,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,2.0,0.49800796812749004,1.1764705882352942,0.4117647058823529,14.52887282860726,85.48148148148147,2.308,2.308,100.0,0.0,0.0,0.0
308,309,A.J. Green,SG,24,MIL,56,0,11.0,1.5,3.5,0.423,1.2,3.0,0.408,0.3,0.5,0.519,0.599,0.3,0.3,0.895,0.2,1.0,1.1,0.5,0.2,0.1,0.2,0.9,4.5,0.6194933920704846,1.2857142857142858,0.8571428571428571,13.38688310417687,34.83636363636364,4.632,3.8320000000000003,120.8768267223382,2.5,1.3,76.92307692307692
309,310,Robin Lopez,C,35,MIL,16,2,4.1,0.4,1.2,0.368,0.1,0.5,0.25,0.3,0.7,0.455,0.421,0.1,0.1,1.0,0.2,0.1,0.3,0.3,0.1,0.2,0.1,0.4,1.1,0.44212218649517687,0.9166666666666667,0.4166666666666667,9.273400630942197,32.78048780487805,1.1440000000000001,1.344,85.11904761904762,2.9999999999999996,0.4,250.0
310,311,Andre Jackson Jr.,SG,22,MIL,57,8,10.0,0.9,1.8,0.5,0.3,0.8,0.37,0.6,0.9,0.611,0.585,0.1,0.2,0.727,0.8,1.2,2.0,0.9,0.3,0.1,0.5,1.6,2.2,0.5826271186440678,1.2222222222222223,0.4444444444444445,10.138918023163468,23.88,2.2880000000000003,2.388,95.81239530988276,1.8,1.6,62.5
311,312,Bobby Portis,PF,28,MIL,82,4,24.5,5.7,11.2,0.508,1.2,3.0,0.407,4.5,8.2,0.545,0.562,1.2,1.5,0.79,1.7,5.7,7.4,1.3,0.8,0.4,1.1,2.3,13.8,0.581787521079258,1.2321428571428572,0.26785714285714285,20.70398590492929,52.89795918367347,14.46,12.959999999999999,111.57407407407408,1.1818181818181817,6.9,14.492753623188404
312,313,TyTy Washington Jr.,PG,22,MIL,11,0,5.1,0.5,1.8,0.3,0.2,0.5,0.333,0.4,1.3,0.286,0.35,0.0,0.0,0.0,0.1,0.4,0.5,0.5,0.3,0.0,0.2,0.1,1.3,0.3611111111111111,0.7222222222222222,0.2777777777777778,9.111772733235142,39.21568627450981,1.3,2.0,65.0,2.5,0.7,142.85714285714286
313,314,Brook Lopez,C,35,MIL,79,79,30.5,4.6,9.6,0.485,1.9,5.1,0.366,2.8,4.4,0.621,0.583,1.4,1.7,0.821,1.5,3.7,5.2,1.6,0.5,2.4,1.0,2.4,12.5,0.6039814456899885,1.3020833333333335,0.53125,15.493311499096395,37.20655737704918,13.248,11.347999999999999,116.74303842086712,1.6,6.6,15.151515151515152
314,315,Chris Livingston,SF,20,MIL,21,0,4.3,0.5,1.0,0.5,0.0,0.2,0.2,0.5,0.8,0.588,0.523,0.1,0.2,0.75,0.1,0.9,1.0,0.2,0.1,0.0,0.2,0.7,1.2,0.551470588235294,1.2,0.2,11.508738619869938,29.953488372093027,1.288,1.288,100.0,1.0,1.0,100.0
